car_id,car_make,car_model,car_year,car_mileage,car_price,car_transmission,car_driveTrain,car_vendor,car_location,car_engine
70780359,Audi,A8-L-40l,2015,27313,47999,AUTOMATIC,AWD,Lake Worth, FL 33461,4.0 L
72924799,Nissan,Versa-Note-Sv,2014,66558,10599,Automatic,FWD,King Of Prussia, PA 19406,1.60L I4
72732717,Nissan,Rogue,2014,28786,13700,Automatic,FWD,Sarasota, FL 34236,2.50L I4
73704801,Hyundai,Veloster-Turbo-R-Spec,2015,19521,16998,Automatic,FWD,Boynton Beach, FL 33426,1.60L I4
73754429,Lexus,RX-330,2005,129011,10995,5-Speed Automatic,AWD,Manheim, PA 17545,3.3 6 Cylinder Fuel Injected
71471674,Toyota,Rav4-Xle,2016,24719,21200,Automatic,AWD,Warminster, PA 18974,2.5 4 Cylinder Sequential-Port F.I.
73601152,Acura,TLX,2015,20454,26990,9-Speed Shiftable Automatic,FWD,Turnersville, NJ 08012,3.5 6 Cylinder Fuel Injected
73748230,Jeep,Grand-Cherokee-Limited,2014,30851,31977,AUTO,4WD,North Wales, PA 19454,V6 Cylinder Engine
73397514,Subaru,Impreza-20i,2016,12466,18991,CVT,AWD,Northumberland, PA 17857,2.0 4 Cylinder Sequential-Port F.I.
73600019,Audi,A3-20T-quattro-Premium-Plus,2016,9550,36000,Dual Shift Gearbox,AWD,West Palm Beach, FL 33409,2.0 4 Cylinder Turbocharged
73746716,Ford,Mustang-GT,2016,31241,26999,AUTOMATIC,RWD,Lake Worth, FL 33461,5.0 L
70117891,Honda,Accord-EX-L,2009,95905,10480,Automatic,FWD,Baltimore, MD 21215,2.4L L4 DOHC 16VCYL
73655333,Acura,TLX,2017,8269,28984,Automatic,FWD,Woodbridge, VA 22191,4 Cyl. 2.4L
72596323,Dodge,Durango-Citadel,2014,45678,28998,A,AWD,Gaithersburg, MD 20877,3.60L V6
73739910,Chevrolet,Suburban-LS,2010,26197,34900,6-Speed Automatic HD Electronic with Overdrive,4WD,Palmyra, PA 17078,Vortec 6.0L V8 SFI VVT
73604283,Volvo,S80,2005,146849,2799,5-Speed Automatic,FWD,Gap, PA 17527,2.5 5 Cylinder Fuel Injection
73190848,Chevrolet,Impala-LTZ,2015,26155,23895,Automatic,FWD,Elizabethtown, PA 17022,3.6 6 Cylinder Not Specified
73018453,GMC,Terrain-SLE-1,2013,15829,17598,A,FWD,Gaithersburg, MD 20877,2.40L I4
73726675,Chevrolet,Equinox-LT,2017,13292,18999,AUTOMATIC,FWD,Lake Worth, FL 33461,2.4
71069783,Chevrolet,Malibu-LT,2012,86954,7988,A,FWD,Baltimore, MD 21222,2.40L I4
72332202,Chevrolet,Traverse-LT,2010,97633,11495,A,FWD,Chantilly, VA 20151,3.60L V6
71366419,Honda,CR-V-LX,2014,42794,15800,Automatic,AWD,Ephrata, PA 17522,4 Cylinder 2.4L
72782453,Honda,Civic-EX,2014,36872,15597,CVT,FWD,Turnersville, NJ 08012,1.8 4 Cylinder Fuel Injected
73073631,Ford,Focus-SE,2016,34177,11999,AUTOMATIC,FWD,Lake Worth, FL 33461,2.0 L
73439146,Honda,CR-V-EX-L,2010,76013,13924,5-Speed Automatic,AWD,Fairless Hills, PA 19030,2.4 4 Cylinder Sequential-Port F.I.
70507699,Hyundai,Sonata-SE,2014,26180,13587,Automatic,FWD,Hagerstown, MD 21740,2.4 4 Cylinder Fuel Injected
71760917,Land Rover,Range-Rover-Sport-HSE-Td6,2016,22057,64900,Automatic,4WD,Philadelphia, PA 19124,3.0L V6 DOHC 24V DIESEL
73559182,Volkswagen,Tiguan-S,2016,32030,14998,Automatic,FWD,Leesburg, VA 20175,2.0 4 Cylinder Turbocharged
