site,car_id,car_descrip,car_make,car_model,car_trim,car_year,car_category,car_mileage,car_price,car_extColor,car_transmission,car_driveTrain,car_vendor,car_location,car_detail_link,car_img_link
carsDotCom,704737991,Used 2014 Toyota Highlander XLE,Toyota,Highlander,XLE,2014,Used,37500,29500,,,,Kevin (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/704737991/overview/,https://www.cstatic-images.com/phototab/SIY/30/11883030.1497484527957.C6900A2323E44E14800D27F4DF8D8BA9.JPG
carsDotCom,704162827,Used 2012 Jeep Grand Cherokee Laredo,Jeep,Grand Cherokee,Laredo,2012,Used,47100,19500,,,,Stefan (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/704162827/overview/,https://www.cstatic-images.com/phototab/SIY/68/11875768.1496942249944.18BFAE28F8974ACDA1947C2BE0A0860F.jpg
carsDotCom,705378959,Used 2006 Land Rover LR3 SE,Land Rover,LR3,SE,2006,Used,111000,10500,,,,George (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/705378959/overview/,https://www.cstatic-images.com/phototab/SIY/16/11818516.1492381342607.EB5B12064DC24B3092D8C1F836C816D9.jpg
carsDotCom,701887739,Used 2013 BMW 650 i xDrive,BMW,650,i xDrive,2013,Used,29600,45000,,,,Ben (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/701887739/overview/,https://www.cstatic-images.com/phototab/SIY/59/11848659.1494860066423.D7404E284FFF43C980FCB1EC5EACAFBD.jpeg
carsDotCom,704566989,Used 2011 Porsche Cayenne Base,Porsche,Cayenne,Base,2011,Used,36000,33000,,,,Remi (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/704566989/overview/,https://www.cstatic-images.com/phototab/SIY/53/11881353.1497369654402.F11C073C2C6F4C788D2A7CD27D097A8D.JPG
carsDotCom,705664705,Used 2012 Hyundai Sonata GLS,Hyundai,Sonata,GLS,2012,Used,58000,8500,Black,Beige,Automatic,Neeraj (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/705664705/overview/,https://www.cstatic-images.com/phototab/SIY/95/11894095.1498316976829.A3DFD93623AF4BB4B9D4DCAD778F3285.jpg
carsDotCom,703205290,Used 2013 BMW X5 xDrive35d,BMW,X5,xDrive35d,2013,Used,62750,29500,,,,Whiticar (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703205290/overview/,https://www.cstatic-images.com/phototab/SIY/86/11865586.1496168152942.449378D3A699417AB0D615DDEB460212.JPG
carsDotCom,703567878,Used 2015 BMW X4 xDrive28i,BMW,X4,xDrive28i,2015,Used,8800,36900,,,,Gabriel (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703567878/overview/,https://www.cstatic-images.com/phototab/SIY/89/11556689.1469646756002.B720A3FA0A2B40B3B9582C24E4CABC7D.jpg
carsDotCom,696730627,Used 2003 Mercedes-Benz 430 Cabriolet,Mercedes-Benz,,430 Cabriolet,2003,Used,52000,11995,,,,Alex (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/696730627/overview/,https://www.cstatic-images.com/phototab/SIY/19/11788019.1489940165810.AC27D456C582418296C2D3935C50561B.JPG
carsDotCom,704811899,Used 2010 Mercedes-Benz C 300,Mercedes-Benz,,C 300,2010,Used,67000,12500,Black,Beige,Automatic,mag (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/704811899/overview/,https://www.cstatic-images.com/phototab/SIY/4/11884004.1497546447161.D8BB849EEF584838BCDA6AB723004B7A.jpg
carsDotCom,704802130,Used 2010 Acura MDX 3.7 L Technology,Acura,MDX,3.7 L Technology,2010,Used,76000,17500,,,,magued (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/704802130/overview/,https://www.cstatic-images.com/phototab/SIY/67/11786367.1489769303465.3D705BFF99674C62952D4F742CAC99F4.jpg
carsDotCom,705793945,Used 2011 BMW 135 i,BMW,135,i,2011,Used,81079,15250,,,,Thomas (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/705793945/overview/,https://www.cstatic-images.com/phototab/SIY/32/11895032.1498400270327.CE486271A2CB4D7B9099316E20548AFC.jpg
carsDotCom,703917614,Used 2013 Toyota Prius v Five,Toyota,Prius v,Five,2013,Used,215001,12500,Black,Beige,CVT,Brad (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703917614/overview/,https://www.cstatic-images.com/phototab/SIY/11/11873111.1496925135829.6D0DD3737D5E43D9A0159F4EBAE6C8CD.JPG
carsDotCom,705794793,Used 1999 Buick LeSabre Limited,Buick,LeSabre,Limited,1999,Used,27000,4500,,,,Marc (Private Seller),Arlington, VA,https://www.cars.com/vehicledetail/detail/705794793/overview/,https://www.cstatic-images.com/phototab/SIY/22/11895122.1498406040909.68F8D9A52E4E4A069BFFD93558BE991D.JPG
carsDotCom,705794444,Used 2006 Subaru Legacy 2.5 i Limited,Subaru,Legacy,2.5 i Limited,2006,Used,127000,4000,,,,Marc (Private Seller),Arlington, VA,https://www.cars.com/vehicledetail/detail/705794444/overview/,https://www.cstatic-images.com/phototab/SIY/13/11895113.1498405364890.7299432B031C450F987D7ADF7E9385C2.JPG
